Ligand	1_Energy	Mass
ZINC08592653	-10,4	443,778
ZINC18179396	-10,4	439,72
ZINC20997728	-10,4	396,267
ZINC49471312	-10,4	363,264
ZINC18213567	-10,4	354,691
ZINC09738071	-10,4	388,275
ZINC13236809	-10,4	416,309
ZINC31818910	-10,4	315,247
ZINC38709554	-10,4	391,301
ZINC39446812	-10,4	374,271
ZINC39795514	-10,4	429,375
ZINC41127026	-10,4	450,396
ZINC56919017	-10,4	367,368
ZINC27374784	-10,4	391,323
ZINC14940007	-10,4	437,374
ZINC39006971	-10,4	440,042
ZINC32939937	-10,4	406,314
ZINC15797725	-10,4	423,308
ZINC16031482	-10,4	425,363
ZINC80365755	-10,4	337,249
ZINC94019628	-10,4	362,306
ZINC81093476	-10,4	330,23
ZINC09368899	-10,4	442,361
ZINC20600455	-10,4	423,3
ZINC02795569	-10,4	341,265
ZINC09633205	-10,4	464,33
ZINC72460033	-10,4	417,768
ZINC65613665	-10,4	352,288
ZINC64481763	-10,4	392,309
ZINC33671650	-10,4	423,345
ZINC72460034	-10,4	462,219
ZINC06121474	-10,4	351,254
ZINC20530732	-10,4	439,37
ZINC64972576	-10,4	452,247
ZINC59994233	-10,4	413,416
ZINC71941280	-10,4	397,329
ZINC12360384	-10,4	280,202
ZINC26012096	-10,4	386,278
ZINC02809338	-10,4	475,181
ZINC67473013	-10,4	356,279
ZINC12075163	-10,4	348,276
ZINC35876482	-10,4	328,266
ZINC67909185	-10,4	354,26
ZINC24022555	-10,4	419,355
ZINC12629128	-10,4	476,202
ZINC03617021	-10,4	333,239
ZINC09632776	-10,4	452,192
ZINC14084075	-10,4	372,242
ZINC34870858	-10,4	382,268
ZINC90093936	-10,3	338,234
ZINC78258486	-10,3	328,269
ZINC91674783	-10,3	381,283
ZINC59893545	-10,3	387,358
ZINC13810074	-10,3	324,254
ZINC09816001	-10,3	417,344
ZINC33282550	-10,3	382,292
ZINC90912701	-10,3	344,255
ZINC40773138	-10,3	315,25
ZINC05637343	-10,3	393,267
ZINC90912702	-10,3	344,255
ZINC39894993	-10,3	427,367
ZINC90678427	-10,3	440,355
ZINC32960063	-10,3	404,323
ZINC00219812	-10,3	327,258
ZINC32960064	-10,3	404,323
ZINC48647073	-10,3	341,285
ZINC40762372	-10,3	406,319
ZINC35344330	-10,3	393,342
ZINC14199454	-10,3	371,335
ZINC05776399	-10,3	378,324
ZINC55341207	-10,3	463,387
ZINC03286251	-10,3	384,691
ZINC12886866	-10,3	410,301
ZINC33262422	-10,3	415,749
ZINC67455270	-10,3	367,303
ZINC89583757	-10,3	345,292
ZINC13013162	-10,3	250,193
ZINC21323845	-10,3	433,385
ZINC33068197	-10,3	438,315
ZINC00950537	-10,3	439,723
ZINC12804288	-10,3	466,392
ZINC20859138	-10,3	421,396
ZINC25145436	-10,3	336,283
ZINC58658843	-10,3	378,303
ZINC38932817	-10,3	412,317
ZINC63469313	-10,3	369,275
ZINC32887392	-10,3	402,146
ZINC12908578	-10,3	421,343
ZINC08724004	-10,3	465,901
ZINC40762376	-10,3	413,307
ZINC06034613	-10,3	398,293
ZINC16371974	-10,3	427,359
ZINC38516553	-10,3	356,344
ZINC09219378	-10,3	422,289
ZINC20933073	-10,3	422,332
ZINC12788512	-10,3	402,325
ZINC01177037	-10,3	352,308
ZINC70721689	-10,3	301,243
ZINC46536372	-10,3	329,251
ZINC67674624	-10,3	353,253
ZINC95453496	-10,3	369,278
ZINC21723280	-10,3	401,341
ZINC01163871	-10,3	453,798
ZINC21323849	-10,3	461,85
ZINC21204417	-10,3	410,304
ZINC33125294	-10,3	390,721
ZINC65419315	-10,3	341,268
ZINC13085935	-10,3	429,333
ZINC38716298	-10,3	356,276
ZINC67834316	-10,3	346,256
ZINC55546146	-10,3	323,24
ZINC12763015	-10,3	373,282
ZINC09114422	-10,3	466,391
ZINC21133989	-10,3	444,366
ZINC08644983	-10,3	339,269
ZINC77117049	-10,3	356,273
ZINC14464598	-10,3	374,312
ZINC04132364	-10,3	306,232
ZINC31665293	-10,3	348,298
ZINC59513059	-10,3	478,326
ZINC32932485	-10,3	366,298
ZINC48481786	-10,3	352,288
ZINC89851041	-10,3	338,692
ZINC11747220	-10,3	391,301
ZINC58158636	-10,3	328,269
ZINC00902709	-10,3	449,407
ZINC35006528	-10,3	417,342
ZINC46020600	-10,3	425,294
ZINC78550095	-10,3	371,271
ZINC91674811	-10,3	327,255
ZINC05347516	-10,3	399,352
ZINC01880915	-10,3	351,708
ZINC07044331	-10,3	378,282
